log_id,file_path,platform,error_category,build_number,timestamp
gitlab-ci_dependency_error_929,logs/gitlab-ci_dependency_error_929.txt,gitlab-ci,dependency_error,929,2025-10-30T21:44:30.850051
jenkins_test_failure_153,logs/jenkins_test_failure_153.txt,jenkins,test_failure,153,2025-10-30T21:44:30.851327
gitlab-ci_timeout_308,logs/gitlab-ci_timeout_308.txt,gitlab-ci,timeout,308,2025-10-30T21:44:30.851728
gitlab-ci_dependency_error_481,logs/gitlab-ci_dependency_error_481.txt,gitlab-ci,dependency_error,481,2025-10-30T21:44:30.850207
gitlab-ci_environment_error_719,logs/gitlab-ci_environment_error_719.txt,gitlab-ci,environment_error,719,2025-10-30T21:44:30.852313
jenkins_dependency_error_621,logs/jenkins_dependency_error_621.txt,jenkins,dependency_error,621,2025-10-30T21:44:30.850228
gitlab-ci_test_failure_80,logs/gitlab-ci_test_failure_80.txt,gitlab-ci,test_failure,80,2025-10-30T21:44:30.851505
gitlab-ci_timeout_321,logs/gitlab-ci_timeout_321.txt,gitlab-ci,timeout,321,2025-10-30T21:44:30.852040
github-actions_environment_error_811,logs/github-actions_environment_error_811.txt,github-actions,environment_error,811,2025-10-30T21:44:30.852263
github-actions_environment_error_507,logs/github-actions_environment_error_507.txt,github-actions,environment_error,507,2025-10-30T21:44:30.852280
jenkins_test_failure_94,logs/jenkins_test_failure_94.txt,jenkins,test_failure,94,2025-10-30T21:44:30.851516
jenkins_timeout_985,logs/jenkins_timeout_985.txt,jenkins,timeout,985,2025-10-30T21:44:30.851766
github-actions_environment_error_381,logs/github-actions_environment_error_381.txt,github-actions,environment_error,381,2025-10-30T21:44:30.852205
github-actions_network_error_652,logs/github-actions_network_error_652.txt,github-actions,network_error,652,2025-10-30T21:44:30.852429
gitlab-ci_dependency_error_222,logs/gitlab-ci_dependency_error_222.txt,gitlab-ci,dependency_error,222,2025-10-30T21:44:30.850185
github-actions_network_error_827,logs/github-actions_network_error_827.txt,github-actions,network_error,827,2025-10-30T21:44:30.852489
gitlab-ci_test_failure_207,logs/gitlab-ci_test_failure_207.txt,gitlab-ci,test_failure,207,2025-10-30T21:44:30.851404
github-actions_timeout_566,logs/github-actions_timeout_566.txt,github-actions,timeout,566,2025-10-30T21:44:30.851739
gitlab-ci_test_failure_572,logs/gitlab-ci_test_failure_572.txt,gitlab-ci,test_failure,572,2025-10-30T21:44:30.851316
jenkins_dependency_error_676,logs/jenkins_dependency_error_676.txt,jenkins,dependency_error,676,2025-10-30T21:44:30.849906
gitlab-ci_dependency_error_566,logs/gitlab-ci_dependency_error_566.txt,gitlab-ci,dependency_error,566,2025-10-30T21:44:30.850247
github-actions_test_failure_918,logs/github-actions_test_failure_918.txt,github-actions,test_failure,918,2025-10-30T21:44:30.851393
jenkins_dependency_error_27,logs/jenkins_dependency_error_27.txt,jenkins,dependency_error,27,2025-10-30T21:44:30.850287
gitlab-ci_network_error_653,logs/gitlab-ci_network_error_653.txt,gitlab-ci,network_error,653,2025-10-30T21:44:30.852454
gitlab-ci_dependency_error_611,logs/gitlab-ci_dependency_error_611.txt,gitlab-ci,dependency_error,611,2025-10-30T21:44:30.849659
jenkins_dependency_error_285,logs/jenkins_dependency_error_285.txt,jenkins,dependency_error,285,2025-10-30T21:44:30.849500
github-actions_network_error_567,logs/github-actions_network_error_567.txt,github-actions,network_error,567,2025-10-30T21:44:30.852410
github-actions_syntax_error_263,logs/github-actions_syntax_error_263.txt,github-actions,syntax_error,263,2025-10-30T21:44:30.850838
github-actions_test_failure_150,logs/github-actions_test_failure_150.txt,github-actions,test_failure,150,2025-10-30T21:44:30.851662
jenkins_syntax_error_698,logs/jenkins_syntax_error_698.txt,jenkins,syntax_error,698,2025-10-30T21:44:30.850851
gitlab-ci_environment_error_509,logs/gitlab-ci_environment_error_509.txt,gitlab-ci,environment_error,509,2025-10-30T21:44:30.852347
jenkins_dependency_error_569,logs/jenkins_dependency_error_569.txt,jenkins,dependency_error,569,2025-10-30T21:44:30.850155
gitlab-ci_timeout_557,logs/gitlab-ci_timeout_557.txt,gitlab-ci,timeout,557,2025-10-30T21:44:30.851926
jenkins_test_failure_671,logs/jenkins_test_failure_671.txt,jenkins,test_failure,671,2025-10-30T21:44:30.851673
gitlab-ci_syntax_error_48,logs/gitlab-ci_syntax_error_48.txt,gitlab-ci,syntax_error,48,2025-10-30T21:44:30.850432
jenkins_timeout_791,logs/jenkins_timeout_791.txt,jenkins,timeout,791,2025-10-30T21:44:30.851802
jenkins_syntax_error_292,logs/jenkins_syntax_error_292.txt,jenkins,syntax_error,292,2025-10-30T21:44:30.850983
jenkins_test_failure_331,logs/jenkins_test_failure_331.txt,jenkins,test_failure,331,2025-10-30T21:44:30.851217
github-actions_environment_error_346,logs/github-actions_environment_error_346.txt,github-actions,environment_error,346,2025-10-30T21:44:30.852179
github-actions_timeout_101,logs/github-actions_timeout_101.txt,github-actions,timeout,101,2025-10-30T21:44:30.851943
gitlab-ci_test_failure_247,logs/gitlab-ci_test_failure_247.txt,gitlab-ci,test_failure,247,2025-10-30T21:44:30.851064
jenkins_dependency_error_760,logs/jenkins_dependency_error_760.txt,jenkins,dependency_error,760,2025-10-30T21:44:30.849863
gitlab-ci_syntax_error_992,logs/gitlab-ci_syntax_error_992.txt,gitlab-ci,syntax_error,992,2025-10-30T21:44:30.850564
github-actions_test_failure_939,logs/github-actions_test_failure_939.txt,github-actions,test_failure,939,2025-10-30T21:44:30.851684
jenkins_syntax_error_15,logs/jenkins_syntax_error_15.txt,jenkins,syntax_error,15,2025-10-30T21:44:30.850514
github-actions_timeout_322,logs/github-actions_timeout_322.txt,github-actions,timeout,322,2025-10-30T21:44:30.851881
jenkins_timeout_288,logs/jenkins_timeout_288.txt,jenkins,timeout,288,2025-10-30T21:44:30.851891
jenkins_dependency_error_209,logs/jenkins_dependency_error_209.txt,jenkins,dependency_error,209,2025-10-30T21:44:30.850328
jenkins_dependency_error_164,logs/jenkins_dependency_error_164.txt,jenkins,dependency_error,164,2025-10-30T21:44:30.849895
jenkins_timeout_569,logs/jenkins_timeout_569.txt,jenkins,timeout,569,2025-10-30T21:44:30.852056
jenkins_environment_error_377,logs/jenkins_environment_error_377.txt,jenkins,environment_error,377,2025-10-30T21:44:30.852372
jenkins_test_failure_173,logs/jenkins_test_failure_173.txt,jenkins,test_failure,173,2025-10-30T21:44:30.851228
github-actions_dependency_error_971,logs/github-actions_dependency_error_971.txt,github-actions,dependency_error,971,2025-10-30T21:44:30.850238
gitlab-ci_timeout_69,logs/gitlab-ci_timeout_69.txt,gitlab-ci,timeout,69,2025-10-30T21:44:30.851978
jenkins_test_failure_655,logs/jenkins_test_failure_655.txt,jenkins,test_failure,655,2025-10-30T21:44:30.851239
gitlab-ci_environment_error_986,logs/gitlab-ci_environment_error_986.txt,gitlab-ci,environment_error,986,2025-10-30T21:44:30.852137
github-actions_test_failure_393,logs/github-actions_test_failure_393.txt,github-actions,test_failure,393,2025-10-30T21:44:30.851472
gitlab-ci_dependency_error_56,logs/gitlab-ci_dependency_error_56.txt,gitlab-ci,dependency_error,56,2025-10-30T21:44:30.849751
github-actions_syntax_error_425,logs/github-actions_syntax_error_425.txt,github-actions,syntax_error,425,2025-10-30T21:44:30.850994
github-actions_network_error_549,logs/github-actions_network_error_549.txt,github-actions,network_error,549,2025-10-30T21:44:30.852481
github-actions_dependency_error_748,logs/github-actions_dependency_error_748.txt,github-actions,dependency_error,748,2025-10-30T21:44:30.849513
jenkins_test_failure_830,logs/jenkins_test_failure_830.txt,jenkins,test_failure,830,2025-10-30T21:44:30.851170
github-actions_syntax_error_458,logs/github-actions_syntax_error_458.txt,github-actions,syntax_error,458,2025-10-30T21:44:30.850376
gitlab-ci_network_error_543,logs/gitlab-ci_network_error_543.txt,gitlab-ci,network_error,543,2025-10-30T21:44:30.852437
gitlab-ci_syntax_error_348,logs/gitlab-ci_syntax_error_348.txt,gitlab-ci,syntax_error,348,2025-10-30T21:44:30.850637
gitlab-ci_test_failure_36,logs/gitlab-ci_test_failure_36.txt,gitlab-ci,test_failure,36,2025-10-30T21:44:30.851135
gitlab-ci_timeout_690,logs/gitlab-ci_timeout_690.txt,gitlab-ci,timeout,690,2025-10-30T21:44:30.851908
jenkins_syntax_error_816,logs/jenkins_syntax_error_816.txt,jenkins,syntax_error,816,2025-10-30T21:44:30.850862
jenkins_test_failure_268,logs/jenkins_test_failure_268.txt,jenkins,test_failure,268,2025-10-30T21:44:30.851650
github-actions_environment_error_730,logs/github-actions_environment_error_730.txt,github-actions,environment_error,730,2025-10-30T21:44:30.852364
