log_id,file_path,platform,error_category,build_number,timestamp
gitlab-ci_test_failure_530,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_test_failure_530.txt,gitlab-ci,test_failure,530,2025-10-30T21:44:30.851205
jenkins_timeout_569,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_timeout_569.txt,jenkins,timeout,569,2025-10-30T21:44:30.852056
jenkins_test_failure_274,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_test_failure_274.txt,jenkins,test_failure,274,2025-10-30T21:44:30.851716
jenkins_environment_error_317,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_environment_error_317.txt,jenkins,environment_error,317,2025-10-30T21:44:30.852339
jenkins_test_failure_355,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_test_failure_355.txt,jenkins,test_failure,355,2025-10-30T21:44:30.851560
github-actions_network_error_827,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_network_error_827.txt,github-actions,network_error,827,2025-10-30T21:44:30.852489
gitlab-ci_test_failure_207,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_test_failure_207.txt,gitlab-ci,test_failure,207,2025-10-30T21:44:30.851404
github-actions_syntax_error_213,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_syntax_error_213.txt,github-actions,syntax_error,213,2025-10-30T21:44:30.850574
jenkins_dependency_error_395,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_dependency_error_395.txt,jenkins,dependency_error,395,2025-10-30T21:44:30.849928
gitlab-ci_dependency_error_235,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_dependency_error_235.txt,gitlab-ci,dependency_error,235,2025-10-30T21:44:30.849729
github-actions_environment_error_716,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_environment_error_716.txt,github-actions,environment_error,716,2025-10-30T21:44:30.852330
github-actions_dependency_error_631,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_dependency_error_631.txt,github-actions,dependency_error,631,2025-10-30T21:44:30.850123
gitlab-ci_network_error_543,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_network_error_543.txt,gitlab-ci,network_error,543,2025-10-30T21:44:30.852437
jenkins_timeout_48,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_timeout_48.txt,jenkins,timeout,48,2025-10-30T21:44:30.851757
github-actions_dependency_error_250,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_dependency_error_250.txt,github-actions,dependency_error,250,2025-10-30T21:44:30.850135
gitlab-ci_syntax_error_48,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_syntax_error_48.txt,gitlab-ci,syntax_error,48,2025-10-30T21:44:30.850432
gitlab-ci_syntax_error_673,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_syntax_error_673.txt,gitlab-ci,syntax_error,673,2025-10-30T21:44:30.850667
gitlab-ci_dependency_error_720,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_dependency_error_720.txt,gitlab-ci,dependency_error,720,2025-10-30T21:44:30.850257
jenkins_timeout_758,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_timeout_758.txt,jenkins,timeout,758,2025-10-30T21:44:30.851810
github-actions_timeout_357,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_timeout_357.txt,github-actions,timeout,357,2025-10-30T21:44:30.852032
gitlab-ci_timeout_30,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_timeout_30.txt,gitlab-ci,timeout,30,2025-10-30T21:44:30.852004
github-actions_environment_error_346,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_environment_error_346.txt,github-actions,environment_error,346,2025-10-30T21:44:30.852179
gitlab-ci_test_failure_157,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_test_failure_157.txt,gitlab-ci,test_failure,157,2025-10-30T21:44:30.851494
jenkins_environment_error_657,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_environment_error_657.txt,jenkins,environment_error,657,2025-10-30T21:44:30.852239
github-actions_syntax_error_630,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_syntax_error_630.txt,github-actions,syntax_error,630,2025-10-30T21:44:30.850875
gitlab-ci_test_failure_231,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_test_failure_231.txt,gitlab-ci,test_failure,231,2025-10-30T21:44:30.851382
github-actions_syntax_error_425,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_syntax_error_425.txt,github-actions,syntax_error,425,2025-10-30T21:44:30.850994
jenkins_syntax_error_610,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_syntax_error_610.txt,jenkins,syntax_error,610,2025-10-30T21:44:30.850917
gitlab-ci_network_error_268,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_network_error_268.txt,gitlab-ci,network_error,268,2025-10-30T21:44:30.852463
github-actions_dependency_error_76,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_dependency_error_76.txt,github-actions,dependency_error,76,2025-10-30T21:44:30.850218
gitlab-ci_timeout_321,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_timeout_321.txt,gitlab-ci,timeout,321,2025-10-30T21:44:30.852040
gitlab-ci_syntax_error_992,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_syntax_error_992.txt,gitlab-ci,syntax_error,992,2025-10-30T21:44:30.850564
github-actions_permission_error_750,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_permission_error_750.txt,github-actions,permission_error,750,2025-10-30T21:44:30.852641
jenkins_test_failure_775,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_test_failure_775.txt,jenkins,test_failure,775,2025-10-30T21:44:30.851427
jenkins_syntax_error_15,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_syntax_error_15.txt,jenkins,syntax_error,15,2025-10-30T21:44:30.850514
jenkins_syntax_error_589,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_syntax_error_589.txt,jenkins,syntax_error,589,2025-10-30T21:44:30.851037
github-actions_timeout_953,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_timeout_953.txt,github-actions,timeout,953,2025-10-30T21:44:30.851986
jenkins_dependency_error_760,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_dependency_error_760.txt,jenkins,dependency_error,760,2025-10-30T21:44:30.849863
jenkins_dependency_error_225,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_dependency_error_225.txt,jenkins,dependency_error,225,2025-10-30T21:44:30.849641
jenkins_permission_error_134,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_permission_error_134.txt,jenkins,permission_error,134,2025-10-30T21:44:30.852518
gitlab-ci_network_error_653,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_network_error_653.txt,gitlab-ci,network_error,653,2025-10-30T21:44:30.852454
gitlab-ci_syntax_error_26,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_syntax_error_26.txt,gitlab-ci,syntax_error,26,2025-10-30T21:44:30.850524
github-actions_timeout_809,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_timeout_809.txt,github-actions,timeout,809,2025-10-30T21:44:30.851917
github-actions_syntax_error_588,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_syntax_error_588.txt,github-actions,syntax_error,588,2025-10-30T21:44:30.850785
github-actions_timeout_887,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_timeout_887.txt,github-actions,timeout,887,2025-10-30T21:44:30.852110
jenkins_environment_error_41,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_environment_error_41.txt,jenkins,environment_error,41,2025-10-30T21:44:30.852304
jenkins_timeout_283,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_timeout_283.txt,jenkins,timeout,283,2025-10-30T21:44:30.851853
gitlab-ci_syntax_error_186,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_syntax_error_186.txt,gitlab-ci,syntax_error,186,2025-10-30T21:44:30.850949
gitlab-ci_dependency_error_254,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_dependency_error_254.txt,gitlab-ci,dependency_error,254,2025-10-30T21:44:30.849720
gitlab-ci_network_error_476,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_network_error_476.txt,gitlab-ci,network_error,476,2025-10-30T21:44:30.852419
gitlab-ci_environment_error_719,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_environment_error_719.txt,gitlab-ci,environment_error,719,2025-10-30T21:44:30.852313
jenkins_dependency_error_676,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_dependency_error_676.txt,jenkins,dependency_error,676,2025-10-30T21:44:30.849906
jenkins_timeout_791,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_timeout_791.txt,jenkins,timeout,791,2025-10-30T21:44:30.851802
github-actions_dependency_error_249,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_dependency_error_249.txt,github-actions,dependency_error,249,2025-10-30T21:44:30.849741
gitlab-ci_dependency_error_292,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_dependency_error_292.txt,gitlab-ci,dependency_error,292,2025-10-30T21:44:30.849834
jenkins_dependency_error_217,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_dependency_error_217.txt,jenkins,dependency_error,217,2025-10-30T21:44:30.850061
github-actions_network_error_652,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_network_error_652.txt,github-actions,network_error,652,2025-10-30T21:44:30.852429
github-actions_network_error_549,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_network_error_549.txt,github-actions,network_error,549,2025-10-30T21:44:30.852481
gitlab-ci_test_failure_378,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_test_failure_378.txt,gitlab-ci,test_failure,378,2025-10-30T21:44:30.851338
jenkins_syntax_error_430,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_syntax_error_430.txt,jenkins,syntax_error,430,2025-10-30T21:44:30.850544
jenkins_environment_error_10,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_environment_error_10.txt,jenkins,environment_error,10,2025-10-30T21:44:30.852222
jenkins_permission_error_998,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_permission_error_998.txt,jenkins,permission_error,998,2025-10-30T21:44:30.852587
jenkins_timeout_985,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_timeout_985.txt,jenkins,timeout,985,2025-10-30T21:44:30.851766
jenkins_test_failure_885,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_test_failure_885.txt,jenkins,test_failure,885,2025-10-30T21:44:30.851270
github-actions_syntax_error_703,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_syntax_error_703.txt,github-actions,syntax_error,703,2025-10-30T21:44:30.850617
gitlab-ci_syntax_error_721,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_syntax_error_721.txt,gitlab-ci,syntax_error,721,2025-10-30T21:44:30.850739
gitlab-ci_dependency_error_689,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_dependency_error_689.txt,gitlab-ci,dependency_error,689,2025-10-30T21:44:30.849970
github-actions_test_failure_68,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_test_failure_68.txt,github-actions,test_failure,68,2025-10-30T21:44:30.851193
github-actions_test_failure_141,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_test_failure_141.txt,github-actions,test_failure,141,2025-10-30T21:44:30.851147
gitlab-ci_syntax_error_47,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_syntax_error_47.txt,gitlab-ci,syntax_error,47,2025-10-30T21:44:30.850534
github-actions_permission_error_842,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_permission_error_842.txt,github-actions,permission_error,842,2025-10-30T21:44:30.852536
gitlab-ci_dependency_error_222,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_dependency_error_222.txt,gitlab-ci,dependency_error,222,2025-10-30T21:44:30.850185
gitlab-ci_environment_error_509,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/gitlab-ci_environment_error_509.txt,gitlab-ci,environment_error,509,2025-10-30T21:44:30.852347
jenkins_dependency_error_225,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/jenkins_dependency_error_225.txt,jenkins,dependency_error,225,2025-10-30T21:44:30.850040
github-actions_test_failure_41,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_test_failure_41.txt,github-actions,test_failure,41,2025-10-30T21:44:30.851627
github-actions_timeout_469,/Users/mac/projects/Thesis/ai-logguard/data/synthetic_logs/logs/github-actions_timeout_469.txt,github-actions,timeout,469,2025-10-30T21:44:30.852023
